Epoch,Train Loss,Val Loss,Train Accuracy,Val Accuracy,Precision,Recall,F1 Score,mAP
1,0.6735113029630439,0.7898352480338265,65.52,66.09,0.658,0.626,0.614,0.067
2,0.5973668012948869,0.7802217580222836,68.64,68.36,0.688,0.657,0.661,0.067
3,0.4846038648225729,0.6958316785283387,72.49,70.81,0.716,0.691,0.692,0.067
4,0.41533596451457554,0.6982153695542366,74.66,73.78,0.712,0.713,0.709,0.067
5,0.37273905135474157,0.7423513032491124,76.03,76.86,0.739,0.744,0.739,0.067
6,0.36634843804086874,0.850136615584294,78.56,75.78,0.719,0.703,0.704,0.064
7,0.38626139697266145,0.7673547168805575,79.86,76.96,0.755,0.750,0.749,0.068
8,0.34701593787300862,0.6224222429717581,81.19,77.81,0.755,0.749,0.749,0.067
9,0.30239653237552825,0.7278778212144971,82.66,78.05,0.764,0.759,0.750,0.073
10,0.32792721391854428,0.812943111003066,83.13,78.57,0.764,0.764,0.756,0.068
11,0.33823703491553954,0.6759517132459829,84.80,79.44,0.777,0.772,0.772,0.068
12,0.31483379000418105,0.7185542035721786,85.57,79.75,0.774,0.786,0.778,0.065
13,0.31696358368894791,0.7234931518537147,86.31,80.11,0.779,0.788,0.774,0.062
14,0.27837307439592567,0.682105850991987,87.62,81.86,0.791,0.807,0.794,0.068
15,0.26782891085310341,0.761479667298651,88.81,81.53,0.781,0.797,0.783,0.067
16,0.28709747136092419,0.8216132122382987,89.07,81.26,0.791,0.806,0.794,0.070
17,0.29339877187180586,0.8203401608501129,89.27,81.20,0.797,0.795,0.786,0.066
18,0.27785128010323868,0.7764214252238768,89.47,82.59,0.806,0.814,0.808,0.071
19,0.28889192884654548,0.8654111684280604,89.38,81.20,0.795,0.789,0.783,0.065
20,0.31188236431323796,0.8795604055766792,89.30,82.38,0.804,0.799,0.795,0.067
21,0.28345903990082713,0.6582603692984776,89.20,83.86,0.815,0.821,0.815,0.065
22,0.27122186771978271,0.6749290459682622,89.78,83.69,0.816,0.828,0.818,0.066
23,0.30567902309539755,0.631679605145473,89.77,83.44,0.815,0.812,0.811,0.065
24,0.247973266970852246,0.5860803233013333,89.54,82.81,0.815,0.820,0.815,0.069
25,0.25825453050275225,0.5987237672010887,89.11,82.17,0.798,0.813,0.804,0.067
26,0.255297771068086435,0.7486070342982809,89.13,80.26,0.791,0.801,0.791,0.067
27,0.262439373686307253,0.7934277117140785,89.97,82.38,0.812,0.803,0.800,0.063
28,0.28744784763412894,0.6773645079461858,89.18,82.17,0.802,0.803,0.801,0.068
29,0.27797107256573706,0.785266394354403,89.59,81.32,0.807,0.813,0.806,0.068
30,0.28657244503728648,0.7043732570772893,89.03,82.17,0.800,0.812,0.804,0.070
31,0.25403003806798737,0.7698933651049931,90.03,80.47,0.797,0.791,0.791,0.067
32,0.24952861153542119,0.8526965028169797,90.43,78.99,0.775,0.794,0.778,0.065
33,0.245536422598355414,0.6966267459922221,90.35,82.81,0.794,0.794,0.791,0.064
34,0.24581508343475328,0.9164999905081154,90.60,80.69,0.787,0.787,0.780,0.067
35,0.29045769893468213,1.0036681522460033,89.92,80.26,0.773,0.777,0.772,0.070
36,0.26451821694320387,0.8501449237238678,90.94,82.81,0.819,0.816,0.814,0.076
37,0.246055794772505536,0.6419265347170343,90.69,82.59,0.794,0.809,0.798,0.069
38,0.254588891338055175,0.9216505303960125,90.40,79.63,0.781,0.793,0.782,0.064
39,0.24728092117825901,0.8374357315899942,90.64,82.38,0.791,0.802,0.794,0.065
40,0.26461481076978301,0.7244660532571288,90.07,83.08,0.818,0.824,0.818,0.068
41,0.23964222428433821,0.9571479012505734,90.64,83.08,0.817,0.825,0.815,0.065
42,0.23377473869964817,0.7057084180307963,90.98,82.02,0.805,0.813,0.807,0.068
43,0.23800812730032615,0.7201281272235065,90.78,82.59,0.803,0.816,0.807,0.065
44,0.255288035163878535,0.8437849149495984,90.40,81.32,0.801,0.811,0.802,0.073
45,0.27080964468819659,0.8987273869803176,89.67,80.69,0.783,0.785,0.780,0.068
46,0.24725204568522422,0.6987287627301005,90.58,82.38,0.799,0.813,0.805,0.070
47,0.24261870401048495,0.7270859016517837,90.78,81.75,0.795,0.806,0.798,0.067
48,0.255153238111671776,0.745385916205123,90.10,81.75,0.800,0.803,0.799,0.068
49,0.235679679160733654,0.6505952156247493,90.96,84.14,0.832,0.830,0.830,0.076
50,0.2588210783395871,0.8082376566182423,90.13,79.63,0.755,0.769,0.757,0.065
51,0.23738767927589383,0.731772166490555,91.59,84.27,0.842,0.850,0.841,0.066
52,0.23398226835996645,0.803575727341763,91.72,85.32,0.848,0.864,0.852,0.070
53,0.25613147014915069,0.839976080258687,91.14,84.20,0.829,0.841,0.832,0.068
54,0.26213141010719289,0.715795152054841,91.71,85.96,0.862,0.866,0.861,0.065
55,0.23301197006204956,0.839663461984249,91.71,86.17,0.859,0.872,0.862,0.069
56,0.24245941213670625,0.934014453820441,91.37,85.42,0.834,0.849,0.837,0.066
57,0.23098916126503293,0.730458042832712,91.58,85.96,0.855,0.863,0.856,0.064
58,0.22349257401036419,0.817937045461455,92.10,86.26,0.838,0.853,0.842,0.066
59,0.20953388827374528,0.776485931735078,92.36,87.75,0.854,0.861,0.854,0.064
60,0.21890781681139963,0.869327420157424,92.27,88.17,0.867,0.875,0.869,0.068
61,0.21415582158439454,0.813305118017696,92.24,87.96,0.852,0.868,0.857,0.066
62,0.22364789548988518,1.018611916898468,91.78,87.11,0.844,0.855,0.844,0.064
63,0.22393907146471851,0.880539678815209,91.81,86.47,0.838,0.849,0.839,0.065
64,0.22785114106934097,0.842233405929680,91.86,88.81,0.874,0.876,0.873,0.070
65,0.24806262081235226,0.961489226068382,91.13,86.69,0.869,0.857,0.854,0.066
66,0.22802175864444348,0.663362226116684,91.89,89.02,0.862,0.869,0.864,0.066
67,0.21807729401708625,0.886184010341579,92.02,87.53,0.852,0.854,0.844,0.064
68,0.23316910069133635,0.680748745282229,91.67,88.17,0.874,0.865,0.863,0.066
69,0.25014726585010632,0.848166363598042,91.46,87.96,0.853,0.858,0.846,0.065
70,0.24423407625345948,0.862972483690828,91.28,86.69,0.865,0.849,0.847,0.066
71,0.2428680871299285,0.988629615635970,91.29,88.38,0.865,0.874,0.865,0.067
72,0.22200062041834773,0.811364425423866,91.96,88.17,0.860,0.869,0.863,0.069
73,0.21800254159285156,0.755195390881515,92.06,88.38,0.864,0.871,0.863,0.065
74,0.21494692608627357,0.667292128999903,92.24,89.65,0.872,0.876,0.872,0.065
75,0.2171358679070121,0.723376028194131,92.19,87.75,0.856,0.861,0.856,0.067
76,0.22045150356456803,0.792535353874762,92.39,89.44,0.871,0.882,0.873,0.067
77,0.23872816103879018,0.924601388691550,91.45,88.17,0.858,0.871,0.863,0.069
78,0.23253723091576972,0.845571811579612,91.77,89.44,0.870,0.878,0.872,0.069
79,0.24407886428759067,0.869728873504461,91.51,86.47,0.842,0.854,0.844,0.066
80,0.2367972656139855,0.876312395098770,91.49,89.23,0.876,0.873,0.867,0.067
81,0.23027789993750896,0.854665867317256,91.72,88.81,0.861,0.872,0.865,0.069
82,0.22713206083419703,0.820977709463043,91.80,89.02,0.869,0.880,0.872,0.065
