Epoch,Train Loss,Val Loss,Train Accuracy,Val Accuracy,Precision,Recall,F1 Score,mAP
1,0.9735113029630439,1.1898352480338265,55.52,56.09,0.558,0.526,0.514,0.057
2,0.8973668012948869,1.1802217580222836,58.64,58.36,0.588,0.557,0.561,0.057
3,0.7846038648225729,1.0958316785283387,62.49,60.81,0.616,0.591,0.592,0.057
4,0.7153359645145755,1.0982153695542366,64.66,63.78,0.612,0.613,0.609,0.057
5,0.6727390513547416,1.1423513032491124,66.03,66.86,0.639,0.644,0.639,0.057
6,0.6663484380408687,1.250136615584294,68.56,65.78,0.619,0.603,0.604,0.054
7,0.6862613969726615,1.1673547168805575,69.86,66.96,0.655,0.650,0.649,0.058
8,0.6470159378730086,1.0224222429717581,71.19,67.81,0.655,0.649,0.649,0.057
9,0.6023965323755283,1.1278778212144971,72.66,68.05,0.664,0.659,0.650,0.063
10,0.6279272139185443,1.212943111003066,73.13,68.57,0.664,0.664,0.656,0.058
11,0.6382370349155395,1.0759517132459829,74.80,69.44,0.677,0.672,0.672,0.058
12,0.6148337900041811,1.1185542035721786,75.57,69.75,0.674,0.686,0.678,0.055
13,0.6169635836889479,1.1234931518537147,76.31,70.11,0.679,0.688,0.674,0.052
14,0.5783730743959257,1.082105850991987,77.62,71.86,0.691,0.707,0.694,0.058
15,0.5678289108531034,1.161479667298651,78.81,71.53,0.681,0.697,0.683,0.057
16,0.5870974713609242,1.2216132122382987,79.07,71.26,0.691,0.706,0.694,0.060
17,0.5933987718718059,1.2203401608501129,79.27,71.20,0.697,0.695,0.686,0.056
18,0.5778512801032387,1.1764214252238768,79.47,72.59,0.706,0.714,0.708,0.061
19,0.5888919288465455,1.2654111684280604,79.38,71.20,0.695,0.689,0.683,0.055
20,0.611882364313238,1.2795604055766792,79.30,72.38,0.704,0.699,0.695,0.057
21,0.5834590399008271,1.0582603692984776,79.20,73.86,0.715,0.721,0.715,0.057
22,0.5712218677197827,1.0749290459682622,79.78,73.69,0.716,0.728,0.718,0.058
23,0.6056790230953976,1.031679605145473,79.77,73.44,0.715,0.712,0.711,0.057
24,0.5479732669708522,0.9860803233013333,79.54,72.81,0.715,0.720,0.715,0.061
25,0.5582545305027523,0.9987237672010887,79.11,72.17,0.698,0.713,0.704,0.059
26,0.5552977710680864,1.1486070342982809,79.13,70.26,0.691,0.701,0.691,0.059
27,0.5624393736863073,1.1934277117140785,79.97,72.38,0.712,0.703,0.700,0.055
28,0.5874478476341289,1.0773645079461858,79.18,72.17,0.702,0.703,0.701,0.060
29,0.5779710725657371,1.185266394354403,79.59,71.32,0.707,0.713,0.706,0.060
30,0.5865724450372865,1.1043732570772893,79.03,72.17,0.700,0.712,0.704,0.062
31,0.5540300380679874,1.1698933651049931,80.03,70.47,0.697,0.691,0.691,0.059
32,0.5495286115354212,1.2526965028169797,80.43,68.99,0.675,0.694,0.678,0.057
33,0.5455364225983554,1.0966267459922221,80.35,72.81,0.694,0.694,0.691,0.056
34,0.5458150834347533,1.3164999905081154,80.60,70.69,0.687,0.687,0.680,0.059
35,0.5904576989346821,1.4036681522460033,79.92,70.26,0.673,0.677,0.672,0.062
36,0.5645182169432039,1.2501449237238678,80.94,72.81,0.719,0.716,0.714,0.072
37,0.5460557947725055,1.0419265347170343,80.69,72.59,0.694,0.709,0.698,0.065
38,0.5545888913380552,1.3216505303960125,80.40,69.63,0.681,0.693,0.682,0.060
39,0.547280921178259,1.2374357315899942,80.64,72.38,0.691,0.702,0.694,0.061
40,0.564614810769783,1.1244660532571288,80.07,73.08,0.718,0.724,0.718,0.062
41,0.5396422242843382,1.3571479012505734,80.64,73.08,0.717,0.725,0.715,0.059
42,0.5337747386996482,1.1057084180307963,80.98,72.02,0.705,0.713,0.707,0.062
43,0.5380081273003261,1.1201281272235065,80.78,72.59,0.703,0.716,0.707,0.059
44,0.5552880351638785,1.2437849149495984,80.40,71.32,0.701,0.711,0.702,0.067
45,0.5708096446881966,1.2987273869803176,79.67,70.69,0.683,0.685,0.680,0.062
46,0.5472520456852242,1.0987287627301005,80.58,72.38,0.699,0.713,0.705,0.064
47,0.5426187040104849,1.1270859016517837,80.78,71.75,0.695,0.706,0.698,0.061
48,0.5551532381116718,1.145385916205123,80.10,71.75,0.700,0.703,0.699,0.062
49,0.5356796791607337,1.0505952156247493,80.96,74.14,0.732,0.730,0.730,0.072
50,0.5588210783395871,1.2082376566182423,80.13,69.63,0.755,0.769,0.757,0.065
