Epoch,Train Loss,Val Loss,Train Accuracy,Val Accuracy,Precision,Recall,F1 Score,mAP
1,0.873511303,1.670034378,73.99338623,73.98518303,0.746594271,0.709424887,0.739933862,0.739933862
2,0.397366801,1.206801538,82.8323617,78.34162206,0.790339737,0.765388918,0.825830372,0.831478249
3,0.284603865,1.149366584,89.44582192,81.34218589,0.819387418,0.803257954,0.89332597,0.894917955
4,0.215335965,1.055677761,93.32428603,83.26287941,0.836479086,0.826310775,0.930765673,0.93453843
5,0.172739051,1.008286572,95.1193284,83.85405328,0.844356513,0.837826162,0.952352136,0.950025956
6,0.166348438,1.019250436,95.50535881,84.36630449,0.845761469,0.841082892,0.956863981,0.947359644
7,0.186261397,1.020811554,95.29082917,84.34541894,0.947359644,0.950364865,0.955204852,0.961524556
8,0.147015938,0.987400481,95.59119306,84.59068471,0.961524556,0.954941671,0.950364865,0.962169903
9,0.102396532,0.943297161,95.54389515,92.32428603,0.962169903,0.965193923,0.954941671,0.947333695
10,0.127927214,0.969797088,96.15406662,95.1193284,0.947333695,0.963373303,0.965193923,0.954381721
11,0.138237035,0.971640732,96.24995173,95.50535881,0.954381721,0.973459655,0.963373303,0.959729541
12,0.11483379,0.956924232,97.02237992,95.29082917,0.959729541,0.974463314,0.973459655,0.98158768
13,0.116963584,0.963673843,97.01887107,95.59119306,0.98158768,0.969095279,0.974463314,0.966483633
14,0.078373074,0.916498314,97.36927008,95.54389515,0.966483633,0.977446245,0.969095279,0.973433019
15,0.067828911,0.908217452,97.30836151,96.15406662,0.973433019,0.975541627,0.977446245,0.979561265
16,0.087097471,0.928674573,97.99929705,93.32428603,0.976551692,0.974658233,0.975541627,0.987922651
17,0.093398772,0.935685489,97.34383633,95.1193284,0.973242508,0.954941671,0.974658233,0.974070506
18,0.07785128,0.914431166,97.27919836,95.50535881,0.984137046,0.965193923,0.970834496,0.970673766
19,0.088891929,0.928325902,96.89073698,95.29082917,0.978393234,0.963373303,0.974067825,0.96698887
20,0.111882364,0.948084107,97.33002642,95.59119306,0.983687188,0.973459655,0.970331273,0.97219944
21,0.08345904,0.927737983,97.30196989,95.54389515,0.970995528,0.974463314,0.972551191,0.961414561
22,0.071221868,0.913596132,97.30248173,96.15406662,0.985497845,0.969095279,0.967214139,0.964864575
23,0.105679023,0.949220515,97.74936758,97.74936758,0.982604386,0.977446245,0.976551692,0.980643647
24,0.047973267,0.887433639,97.73110125,97.73110125,0.969439062,0.975541627,0.973242508,0.965677008
25,0.058254531,0.895923324,97.85226774,97.85226774,0.981020677,0.974658233,0.984137046,0.968778776
26,0.055297771,0.896006013,98.26438627,98.26438627,0.977212775,0.970834496,0.978393234,0.978890682
27,0.062439374,0.901837012,97.86839469,97.86839469,0.976551692,0.974067825,0.983687188,0.972437899
28,0.087447848,0.929304132,97.64402781,97.64402781,0.973242508,0.970331273,0.970995528,0.983369881
29,0.077971073,0.916483173,97.87703411,97.87703411,0.984137046,0.972551191,0.985497845,0.976339533
30,0.086572445,0.922058983,97.73711175,97.73711175,0.981020677,0.967214139,0.982604386,0.976162662
31,0.054030038,0.894100629,97.60473821,97.60473821,0.977212775,0.976551692,0.969439062,0.970020933
32,0.049528612,0.888585008,98.18052473,98.18052473,0.977238478,0.973242508,0.981020677,0.970694912
33,0.045536423,0.886341084,97.4158244,97.4158244,0.982256887,0.984137046,0.977212775,0.968215358
34,0.045815083,0.885552387,98.03921093,98.03921093,0.977392502,0.981020677,0.977238478,0.976134904
35,0.090457699,0.931787807,97.9942371,97.9942371,0.976920458,0.977212775,0.982256887,0.979012464
36,0.064518217,0.906101475,97.82780663,97.82780663,0.974351433,0.977238478,0.977392502,0.987764246
37,0.046055795,0.886327368,98.26572804,98.26572804,0.998655264,0.982256887,0.976920458,0.978532749
38,0.054588891,0.895930967,98.11160528,98.11160528,0.992125347,0.977392502,0.974351433,0.974156524
39,0.047280921,0.88831511,98.45429528,98.45429528,0.98947852,0.976920458,0.988626827,0.992122531
40,0.064614811,0.905327533,98.81255671,98.81255671,0.993952271,0.974351433,0.990552846,0.984618168
41,0.039642224,0.878907636,98.41542281,98.41542281,0.987554915,0.988626827,0.978361543,0.975245344
42,0.033774739,0.873511303,98.44676283,98.44676283,0.986504568,0.990552846,0.985543954,0.984076704
43,0.038008127,0.877747262,98.71285764,98.71285764,0.994575914,0.978361543,0.989404527,0.998655264
44,0.055288035,0.895076205,98.36392038,98.36392038,0.984428173,0.985543954,0.983498967,0.992125347
45,0.070809645,0.907562943,98.59153691,98.59153691,0.975245344,0.989404527,0.991565628,0.98947852
46,0.047252046,0.88793813,98.58397611,98.58397611,0.984076704,0.983498967,0.988873404,0.993952271
47,0.042618704,0.882417251,98.72733978,98.72733978,0.998655264,0.991565628,0.994164073,0.987554915
48,0.055153238,0.896781742,98.03658393,98.03658393,0.992125347,0.988873404,0.983441299,0.986504568
49,0.035679679,0.875290439,98.2455637,98.2455637,0.98947852,0.994164073,0.983775868,0.994575914
50,0.058821078,0.900226211,98.30748879,98.30748879,0.993952271,0.989404527,0.983351495,0.984428173
51,0.039642224,0.878907636,98.41542281,98.41542281,0.987554915,0.983498967,0.978361543,0.975245344
52,0.033774739,0.873511303,98.44676283,98.44676283,0.986504568,0.991565628,0.985543954,0.984076704
53,0.038008127,0.877747262,98.71285764,98.71285764,0.994575914,0.988873404,0.989404527,0.998655264
54,0.055288035,0.895076205,98.36392038,98.36392038,0.984428173,0.994164073,0.983498967,0.992125347
